,Name,Cost,Protein (g),Calories,Fat (g),Servings,Preparation Time (m),Health Score,Gluten Free,Vegetarian,Dairy Free,name lower,Food Type,Meat Type
116,Banana & Oreo Muffin,0.10606060606060605,0.0761904761904762,0.16066481994459833,0.07951070336391437,0.01694915254237288,0.061068702290076333,0.047619047619047616,False,True,False,banana & oreo muffin,Salad/Fruit,Vegetarian
118,Cranberry Crumb Bars,0.04734848484848484,0.01904761904761905,0.046168051708217916,0.027522935779816515,0.1864406779661017,0.061068702290076333,0.015873015873015872,False,True,False,cranberry crumb bars,Dessert,Vegetarian
119,"Rustic Brie Toasts with Wild Mushroom, Cranberry and Shallot",0.11742424242424242,0.0761904761904762,0.04586026469682979,0.027522935779816515,0.06779661016949153,0.061068702290076333,0.09523809523809523,False,True,False,"rustic brie toasts with wild mushroom, cranberry and shallot",Veggies/Beans,Vegetarian
120,Crab Salad in Avocado Boats,0.9696969696969697,0.21904761904761905,0.12342259156663589,0.09480122324159021,0.0,0.061068702290076333,0.4603174603174603,True,False,True,crab salad in avocado boats,Seafood,Meat
121,Grilled Chicken with Sateay Sauce,0.6496212121212122,0.5523809523809524,0.28470298553401047,0.19877675840978593,0.01694915254237288,0.061068702290076333,0.42857142857142855,True,False,True,grilled chicken with sateay sauce,Poultry,Meat
122,Dutch Baby,0.11174242424242423,0.09523809523809523,0.09141274238227147,0.03363914373088685,0.01694915254237288,0.061068702290076333,0.07936507936507936,False,True,False,dutch baby,Breakfast,Vegetarian
123,Bacon Wrapped Pork Tenderloin,0.47916666666666663,0.4857142857142857,0.12249923053247153,0.06422018348623854,0.01694915254237288,0.061068702290076333,0.8095238095238095,True,False,True,bacon wrapped pork tenderloin,Pork,Meat
124,Black Bean and Veggie Burgers with Corn Salsa,0.13636363636363635,0.06666666666666667,0.04524469067405355,0.0061162079510703364,0.05084745762711865,0.061068702290076333,0.3333333333333333,False,False,True,black bean and veggie burgers with corn salsa,Veggies/Beans,Vegetarian
125,Smoked Salmon Pasta,0.553030303030303,0.2,0.14188981224992306,0.0672782874617737,0.01694915254237288,0.061068702290076333,0.20634920634920634,False,False,False,smoked salmon pasta,Seafood,Meat
126,5-Minute Blueberry Chia Jam,0.13636363636363635,0.009523809523809525,0.020929516774392122,0.0061162079510703364,0.01694915254237288,0.061068702290076333,0.031746031746031744,True,True,True,5-minute blueberry chia jam,Breakfast,Vegetarian
